,user_id,user_url,sentiment_analysis,posted,item_id,recommend
0,76561197970982479,http://steamcommunity.com/profiles/76561197970982479,2,2011-11-05,1250,1
3,js41637,http://steamcommunity.com/id/js41637,2,2014-06-24,251610,1
6,evcentric,http://steamcommunity.com/id/evcentric,2,NaT,248820,1
12,doctr,http://steamcommunity.com/id/doctr,2,2013-10-14,250320,1
18,maplemage,http://steamcommunity.com/id/maplemage,2,2014-04-15,211420,1
22,Wackky,http://steamcommunity.com/id/Wackky,0,2014-05-05,249130,1
27,76561198079601835,http://steamcommunity.com/profiles/76561198079601835,2,NaT,730,1
28,MeaTCompany,http://steamcommunity.com/id/MeaTCompany,2,NaT,730,1
29,76561198089393905,http://steamcommunity.com/profiles/76561198089393905,0,2015-02-01,72850,1
31,76561198156664158,http://steamcommunity.com/profiles/76561198156664158,2,NaT,252950,1
32,76561198077246154,http://steamcommunity.com/profiles/76561198077246154,2,NaT,440,1
34,WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,2,2013-12-25,4000,1
35,thequeenpanda,http://steamcommunity.com/id/thequeenpanda,2,2012-06-23,42910,1
36,death-hunter,http://steamcommunity.com/id/death-hunter,2,2015-09-05,232090,1
39,DJKamBer,http://steamcommunity.com/id/DJKamBer,2,2014-07-14,304930,1
45,Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,2,2015-06-19,730,1
48,76561198043472122,http://steamcommunity.com/profiles/76561198043472122,0,2014-12-19,33440,0
49,MarbleShrine,http://steamcommunity.com/id/MarbleShrine,2,2015-02-17,220200,1
50,PPanther,http://steamcommunity.com/id/PPanther,2,2014-06-07,211820,1
51,devvonst,http://steamcommunity.com/id/devvonst,2,2014-02-12,440,1
54,Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,2,NaT,220,1
55,starkillershadow553,http://steamcommunity.com/id/starkillershadow553,2,2015-02-04,238090,1
58,76561198058373434,http://steamcommunity.com/profiles/76561198058373434,2,2015-01-08,8870,1
59,76561198048353577,http://steamcommunity.com/profiles/76561198048353577,0,2015-10-26,368230,1
62,76561198066046412,http://steamcommunity.com/profiles/76561198066046412,0,2015-12-28,359320,0
64,tru_mu_,http://steamcommunity.com/id/tru_mu_,2,2015-12-15,287980,1
65,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,2,NaT,218620,1
70,SavageEeEe,http://steamcommunity.com/id/SavageEeEe,2,2015-11-12,221100,1
71,76561198076909484,http://steamcommunity.com/profiles/76561198076909484,0,2014-06-18,570,1
72,KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,2,2014-11-20,331470,1
74,Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,2,NaT,323370,1
75,GoAwayZach,http://steamcommunity.com/id/GoAwayZach,2,2014-12-29,304930,1
76,76561198054540475,http://steamcommunity.com/profiles/76561198054540475,2,2015-02-13,12210,1
79,76561198085547365,http://steamcommunity.com/profiles/76561198085547365,2,NaT,238460,1
81,76561198061252210,http://steamcommunity.com/profiles/76561198061252210,2,2015-05-21,730,1
82,OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,2,2013-12-06,113200,1
83,boydeer,http://steamcommunity.com/id/boydeer,2,2014-05-12,440,1
85,VVillis,http://steamcommunity.com/id/VVillis,2,2015-01-06,213670,1
86,76561198083226897,http://steamcommunity.com/profiles/76561198083226897,2,2015-12-22,105600,1
87,76561198075277292,http://steamcommunity.com/profiles/76561198075277292,2,2015-06-23,730,1
89,76561198028895010,http://steamcommunity.com/profiles/76561198028895010,2,2013-04-22,231180,1
91,76561198170198366,http://steamcommunity.com/profiles/76561198170198366,2,NaT,271290,1
92,diego9031,http://steamcommunity.com/id/diego9031,2,NaT,4000,1
102,jarrodtrim,http://steamcommunity.com/id/jarrodtrim,2,2012-02-11,440,1
103,76561198078738103,http://steamcommunity.com/profiles/76561198078738103,2,NaT,304930,1
104,76561198067936203,http://steamcommunity.com/profiles/76561198067936203,2,2015-03-12,440,1
105,76561198079770573,http://steamcommunity.com/profiles/76561198079770573,2,2015-10-14,1840,1
106,76561198087586464,http://steamcommunity.com/profiles/76561198087586464,2,2013-10-27,440,1
107,Derp-e,http://steamcommunity.com/id/Derp-e,2,2015-11-27,440,1
108,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,2,2014-10-09,233250,1
115,Rivtex,http://steamcommunity.com/id/Rivtex,2,2015-12-23,298630,1
116,UTNerd24,http://steamcommunity.com/id/UTNerd24,2,2014-05-06,244210,1
122,sandwiches1,http://steamcommunity.com/id/sandwiches1,2,2015-11-23,417860,0
123,76561198138053270,http://steamcommunity.com/profiles/76561198138053270,2,2014-06-01,218620,1
124,lucaswerg,http://steamcommunity.com/id/lucaswerg,2,2014-07-11,218620,1
126,Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,2,2015-11-13,377160,1
128,CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,2,2015-12-17,252490,1
129,76561198075895633,http://steamcommunity.com/profiles/76561198075895633,2,2014-10-26,440,1
130,TheDropix101,http://steamcommunity.com/id/TheDropix101,2,NaT,242920,1
131,kube134,http://steamcommunity.com/id/kube134,2,2014-06-28,251990,1
132,iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,0,2015-09-12,344760,0
136,MainScout,http://steamcommunity.com/id/MainScout,2,NaT,550,1
137,yookobz,http://steamcommunity.com/id/yookobz,2,2015-11-19,377160,1
139,Posiblydead,http://steamcommunity.com/id/Posiblydead,2,2014-04-11,277430,1
142,Mossy_Gaming,http://steamcommunity.com/id/Mossy_Gaming,2,2015-09-26,440,1
143,76561198102421718,http://steamcommunity.com/profiles/76561198102421718,2,2015-06-12,270550,1
146,76561198087407319,http://steamcommunity.com/profiles/76561198087407319,0,2014-01-15,440,1
147,76561198056741844,http://steamcommunity.com/profiles/76561198056741844,2,2014-10-14,730,1
148,sad-commie,http://steamcommunity.com/id/sad-commie,2,NaT,294100,1
151,76561198030567998,http://steamcommunity.com/profiles/76561198030567998,2,2014-11-11,332800,1
156,76561198010674657,http://steamcommunity.com/profiles/76561198010674657,2,NaT,377160,0
158,Coldaniel,http://steamcommunity.com/id/Coldaniel,2,2015-03-22,35450,1
161,therealmorty,http://steamcommunity.com/id/therealmorty,2,2015-03-20,351570,1
163,Berserklejerker,http://steamcommunity.com/id/Berserklejerker,2,2015-10-10,391540,1
164,76561198061730629,http://steamcommunity.com/profiles/76561198061730629,2,2014-07-06,550,1
165,YoHuNz,http://steamcommunity.com/id/YoHuNz,2,2014-06-19,440,1
167,possessioniskey,http://steamcommunity.com/id/possessioniskey,2,2015-04-11,72850,1
170,76561198093112529,http://steamcommunity.com/profiles/76561198093112529,2,2014-08-09,440,1
171,76561198060447950,http://steamcommunity.com/profiles/76561198060447950,2,2015-09-26,200510,1
172,whiteofwolfing,http://steamcommunity.com/id/whiteofwolfing,2,2015-05-22,730,1
173,sergarino,http://steamcommunity.com/id/sergarino,2,2015-08-22,383080,1
174,76561198081962345,http://steamcommunity.com/profiles/76561198081962345,2,NaT,200210,1
176,76561198073210139,http://steamcommunity.com/profiles/76561198073210139,0,NaT,304050,1
177,Nozomikat,http://steamcommunity.com/id/Nozomikat,2,2015-12-30,265610,1
185,xfluttersx,http://steamcommunity.com/id/xfluttersx,2,2015-11-10,351640,1
192,76561198056290589,http://steamcommunity.com/profiles/76561198056290589,2,2014-12-16,730,1
193,ii_voltage_ii,http://steamcommunity.com/id/ii_voltage_ii,2,2014-06-29,253710,0
197,76561198097762318,http://steamcommunity.com/profiles/76561198097762318,2,2015-11-11,440,1
199,Hirukaz,http://steamcommunity.com/id/Hirukaz,2,2013-01-17,550,1
200,StelerForYou,http://steamcommunity.com/id/StelerForYou,2,2015-07-17,730,1
202,76561198183396245,http://steamcommunity.com/profiles/76561198183396245,2,2015-05-06,440,1
203,Xx-Woods,http://steamcommunity.com/id/Xx-Woods,2,NaT,346330,0
211,kevinator23,http://steamcommunity.com/id/kevinator23,2,2015-07-06,320760,1
219,76561198090715178,http://steamcommunity.com/profiles/76561198090715178,2,2014-03-28,4000,1
221,CatsWhale,http://steamcommunity.com/id/CatsWhale,2,2015-02-23,333950,1
225,76561198073784601,http://steamcommunity.com/profiles/76561198073784601,2,2015-03-26,221100,1
227,mimimomoma,http://steamcommunity.com/id/mimimomoma,0,2015-11-23,730,1
228,76561198102410011,http://steamcommunity.com/profiles/76561198102410011,2,2015-09-14,440,1
229,de_Butl3r,http://steamcommunity.com/id/de_Butl3r,2,2014-10-13,209870,1
230,76561198027947401,http://steamcommunity.com/profiles/76561198027947401,2,NaT,322170,1
232,Bluezap1,http://steamcommunity.com/id/Bluezap1,2,2015-12-27,440,1
236,76561198074200011,http://steamcommunity.com/profiles/76561198074200011,2,2015-11-15,730,1
237,jonasdbomb,http://steamcommunity.com/id/jonasdbomb,2,NaT,346110,1
238,L1J1N,http://steamcommunity.com/id/L1J1N,2,2014-06-13,570,1
239,Lord_Exploit,http://steamcommunity.com/id/Lord_Exploit,2,2015-03-13,311560,1
241,AVATAR715,http://steamcommunity.com/id/AVATAR715,1,2014-01-02,48240,0
249,YieuwMage,http://steamcommunity.com/id/YieuwMage,2,NaT,730,1
250,76561198078752187,http://steamcommunity.com/profiles/76561198078752187,0,2014-12-16,240,1
251,A-Very-Sly-Person,http://steamcommunity.com/id/A-Very-Sly-Person,2,2015-08-14,304930,1
253,76561198211054671,http://steamcommunity.com/profiles/76561198211054671,0,NaT,730,1
255,76561197994493402,http://steamcommunity.com/profiles/76561197994493402,2,NaT,365590,1
258,Koolcaz12,http://steamcommunity.com/id/Koolcaz12,2,NaT,298050,0
259,76561198065656175,http://steamcommunity.com/profiles/76561198065656175,2,2015-11-20,383080,1
260,76561198188979775,http://steamcommunity.com/profiles/76561198188979775,2,NaT,440,1
261,97396295,http://steamcommunity.com/id/97396295,2,2014-08-23,301520,1
265,76561198126640317,http://steamcommunity.com/profiles/76561198126640317,2,2015-06-15,251570,1
272,DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,2,2015-01-15,55230,1
278,DieMadchenschanderin,http://steamcommunity.com/id/DieMadchenschanderin,2,2015-08-29,346110,1
282,GGargula,http://steamcommunity.com/id/GGargula,2,NaT,570,0
284,Myther43,http://steamcommunity.com/id/Myther43,2,NaT,273350,1
285,getf0kinn0sc0pedm9,http://steamcommunity.com/id/getf0kinn0sc0pedm9,0,2015-05-31,730,1
